date,sales_cad,waste_cad,covers,complaints,shift_notes,sales_yoy_baseline_cad
2026-04-21,4520,285,89,0,Tuesday slow start picked up 7-9pm,
2026-04-22,4890,312,95,0,Steady mid-week,
2026-04-23,5210,340,108,0,Group of 12 at 8pm smooth service,
2026-04-24,5480,358,115,0,Friday rush 30 min wait at peak,
2026-04-25,5920,385,124,0,Saturday fully booked,
2026-04-26,5640,372,118,0,Sunday brunch test 14 covers added,
2026-04-27,4310,268,84,0,Monday closed kitchen 2pm for renovation walkthrough,
2026-04-28,4720,294,92,0,Back to full schedule,
2026-04-29,4950,318,98,0,Steady,
2026-04-30,5180,342,106,0,Server training afternoon no service issues,
2026-05-01,5540,360,117,0,Friday normal rush,
2026-05-02,5810,378,122,0,Saturday group of 8 at 7pm,
2026-05-03,5490,358,115,0,Sunday brunch traction building,
2026-05-04,4812,312,95,0,Tuesday steady no incidents,4900
